Name,Total Confirmed cases(Indian),Total Confirmed cases(Foreign),Cured,Death,updated_at,unique_key,rank
Andhra Pradesh,3,0,0,0,2020-03-21 16:47:36.821628,-Andhra Pradesh-3-0-0-0,5
Chhattisgarh,1,0,0,0,2020-03-21 16:47:36.821628,-Chhattisgarh-1-0-0-0,5
Delhi,25,1,5,1,2020-03-21 16:47:36.821628,-Delhi-25-1-5-1,5
Gujarat,7,0,0,0,2020-03-21 16:47:36.821628,-Gujarat-7-0-0-0,5
Haryana,3,14,0,0,2020-03-21 16:47:36.821628,-Haryana-3-14-0-0,5
Himachal Pradesh,2,0,0,0,2020-03-21 16:47:36.821628,-Himachal Pradesh-2-0-0-0,5
Karnataka,15,0,1,1,2020-03-21 16:47:36.821628,-Karnataka-15-0-1-1,5
Kerala,33,7,3,0,2020-03-21 16:47:36.821628,-Kerala-33-7-3-0,5
Madhya Pradesh,4,0,0,0,2020-03-21 16:47:36.821628,-Madhya Pradesh-4-0-0-0,5
Maharashtra,60,3,0,1,2020-03-21 16:47:36.821628,-Maharashtra-60-3-0-1,5
Odisha,2,0,0,0,2020-03-21 16:47:36.821628,-Odisha-2-0-0-0,5
Puducherry,1,0,0,0,2020-03-21 16:47:36.821628,-Puducherry-1-0-0-0,5
Punjab,13,0,0,1,2020-03-21 16:47:36.821628,-Punjab-13-0-0-1,5
Rajasthan,15,2,3,0,2020-03-21 16:47:36.821628,-Rajasthan-15-2-3-0,5
Tamil Nadu,3,0,1,0,2020-03-21 16:47:36.821628,-Tamil Nadu-3-0-1-0,5
Telengana,10,11,1,0,2020-03-21 16:47:36.821628,-Telengana-10-11-1-0,5
Chandigarh,1,0,0,0,2020-03-21 16:47:36.821628,-Chandigarh-1-0-0-0,5
Jammu and Kashmir,4,0,0,0,2020-03-21 16:47:36.821628,-Jammu and Kashmir-4-0-0-0,5
Ladakh,13,0,0,0,2020-03-21 16:47:36.821628,-Ladakh-13-0-0-0,5
Uttar Pradesh,23,1,9,0,2020-03-21 16:47:36.821628,-Uttar Pradesh-23-1-9-0,5
Uttarakhand,3,0,0,0,2020-03-21 16:47:36.821628,-Uttarakhand-3-0-0-0,5
West Bengal,3,0,0,0,2020-03-21 16:47:36.821628,-West Bengal-3-0-0-0,1
Andhra Pradesh,3,0,0,0,2020-03-22 13:11:58.197141,-Andhra Pradesh-3-0-0-0,4
Chhattisgarh,1,0,0,0,2020-03-22 13:11:58.197141,-Chhattisgarh-1-0-0-0,4
Delhi,26,1,5,1,2020-03-22 13:11:58.197141,-Delhi-26-1-5-1,4
Gujarat,14,0,0,0,2020-03-22 13:11:58.197141,-Gujarat-14-0-0-0,4
Haryana,3,14,0,0,2020-03-22 13:11:58.197141,-Haryana-3-14-0-0,4
Himachal Pradesh,2,0,0,0,2020-03-22 13:11:58.197141,-Himachal Pradesh-2-0-0-0,4
Karnataka,20,0,2,1,2020-03-22 13:11:58.197141,-Karnataka-20-0-2-1,4
Kerala,45,7,3,0,2020-03-22 13:11:58.197141,-Kerala-45-7-3-0,4
Madhya Pradesh,4,0,0,0,2020-03-22 13:11:58.197141,-Madhya Pradesh-4-0-0-0,4
Maharashtra,60,3,0,2,2020-03-22 13:11:58.197141,-Maharashtra-60-3-0-2,4
Odisha,2,0,0,0,2020-03-22 13:11:58.197141,-Odisha-2-0-0-0,4
Puducherry,1,0,0,0,2020-03-22 13:11:58.197141,-Puducherry-1-0-0-0,4
Punjab,13,0,0,1,2020-03-22 13:11:58.197141,-Punjab-13-0-0-1,4
Rajasthan,22,2,3,0,2020-03-22 13:11:58.197141,-Rajasthan-22-2-3-0,4
Tamil Nadu,4,2,1,0,2020-03-22 13:11:58.197141,-Tamil Nadu-4-2-1-0,4
Telengana,10,11,1,0,2020-03-22 13:11:58.197141,-Telengana-10-11-1-0,4
Chandigarh,5,0,0,0,2020-03-22 13:11:58.197141,-Chandigarh-5-0-0-0,4
Jammu and Kashmir,4,0,0,0,2020-03-22 13:11:58.197141,-Jammu and Kashmir-4-0-0-0,4
Ladakh,13,0,0,0,2020-03-22 13:11:58.197141,-Ladakh-13-0-0-0,4
Uttar Pradesh,24,1,9,0,2020-03-22 13:11:58.197141,-Uttar Pradesh-24-1-9-0,4
Uttarakhand,3,0,0,0,2020-03-22 13:11:58.197141,-Uttarakhand-3-0-0-0,4
Andhra Pradesh,3,0,0,0,2020-03-22 13:12:26.754440,-Andhra Pradesh-3-0-0-0,3
Chhattisgarh,1,0,0,0,2020-03-22 13:12:26.754440,-Chhattisgarh-1-0-0-0,3
Delhi,26,1,5,1,2020-03-22 13:12:26.754440,-Delhi-26-1-5-1,3
Gujarat,14,0,0,0,2020-03-22 13:12:26.754440,-Gujarat-14-0-0-0,3
Haryana,3,14,0,0,2020-03-22 13:12:26.754440,-Haryana-3-14-0-0,3
Himachal Pradesh,2,0,0,0,2020-03-22 13:12:26.754440,-Himachal Pradesh-2-0-0-0,3
Karnataka,20,0,2,1,2020-03-22 13:12:26.754440,-Karnataka-20-0-2-1,3
Kerala,45,7,3,0,2020-03-22 13:12:26.754440,-Kerala-45-7-3-0,3
Madhya Pradesh,4,0,0,0,2020-03-22 13:12:26.754440,-Madhya Pradesh-4-0-0-0,3
Maharashtra,60,3,0,2,2020-03-22 13:12:26.754440,-Maharashtra-60-3-0-2,3
Odisha,2,0,0,0,2020-03-22 13:12:26.754440,-Odisha-2-0-0-0,3
Puducherry,1,0,0,0,2020-03-22 13:12:26.754440,-Puducherry-1-0-0-0,3
Punjab,13,0,0,1,2020-03-22 13:12:26.754440,-Punjab-13-0-0-1,3
Rajasthan,22,2,3,0,2020-03-22 13:12:26.754440,-Rajasthan-22-2-3-0,3
Tamil Nadu,4,2,1,0,2020-03-22 13:12:26.754440,-Tamil Nadu-4-2-1-0,3
Telengana,10,11,1,0,2020-03-22 13:12:26.754440,-Telengana-10-11-1-0,3
Chandigarh,5,0,0,0,2020-03-22 13:12:26.754440,-Chandigarh-5-0-0-0,3
Jammu and Kashmir,4,0,0,0,2020-03-22 13:12:26.754440,-Jammu and Kashmir-4-0-0-0,3
Ladakh,13,0,0,0,2020-03-22 13:12:26.754440,-Ladakh-13-0-0-0,3
Uttar Pradesh,24,1,9,0,2020-03-22 13:12:26.754440,-Uttar Pradesh-24-1-9-0,3
Uttarakhand,3,0,0,0,2020-03-22 13:12:26.754440,-Uttarakhand-3-0-0-0,3
Andhra Pradesh,3,0,0,0,2020-03-22 13:12:49.968543,-Andhra Pradesh-3-0-0-0,2
Chhattisgarh,1,0,0,0,2020-03-22 13:12:49.968543,-Chhattisgarh-1-0-0-0,2
Delhi,26,1,5,1,2020-03-22 13:12:49.968543,-Delhi-26-1-5-1,2
Gujarat,14,0,0,0,2020-03-22 13:12:49.968543,-Gujarat-14-0-0-0,2
Haryana,3,14,0,0,2020-03-22 13:12:49.968543,-Haryana-3-14-0-0,2
Himachal Pradesh,2,0,0,0,2020-03-22 13:12:49.968543,-Himachal Pradesh-2-0-0-0,2
Karnataka,20,0,2,1,2020-03-22 13:12:49.968543,-Karnataka-20-0-2-1,2
Kerala,45,7,3,0,2020-03-22 13:12:49.968543,-Kerala-45-7-3-0,2
Madhya Pradesh,4,0,0,0,2020-03-22 13:12:49.968543,-Madhya Pradesh-4-0-0-0,2
Maharashtra,60,3,0,2,2020-03-22 13:12:49.968543,-Maharashtra-60-3-0-2,2
Odisha,2,0,0,0,2020-03-22 13:12:49.968543,-Odisha-2-0-0-0,2
Puducherry,1,0,0,0,2020-03-22 13:12:49.968543,-Puducherry-1-0-0-0,2
Punjab,13,0,0,1,2020-03-22 13:12:49.968543,-Punjab-13-0-0-1,2
Rajasthan,22,2,3,0,2020-03-22 13:12:49.968543,-Rajasthan-22-2-3-0,2
Tamil Nadu,4,2,1,0,2020-03-22 13:12:49.968543,-Tamil Nadu-4-2-1-0,2
Telengana,10,11,1,0,2020-03-22 13:12:49.968543,-Telengana-10-11-1-0,2
Chandigarh,5,0,0,0,2020-03-22 13:12:49.968543,-Chandigarh-5-0-0-0,2
Jammu and Kashmir,4,0,0,0,2020-03-22 13:12:49.968543,-Jammu and Kashmir-4-0-0-0,2
Ladakh,13,0,0,0,2020-03-22 13:12:49.968543,-Ladakh-13-0-0-0,2
Uttar Pradesh,24,1,9,0,2020-03-22 13:12:49.968543,-Uttar Pradesh-24-1-9-0,2
Uttarakhand,3,0,0,0,2020-03-22 13:12:49.968543,-Uttarakhand-3-0-0-0,2
Andhra Pradesh,3,0,0,0,2020-03-22 13:13:25.386975,-Andhra Pradesh-3-0-0-0,1
Chhattisgarh,1,0,0,0,2020-03-22 13:13:25.386975,-Chhattisgarh-1-0-0-0,1
Delhi,26,1,5,1,2020-03-22 13:13:25.386975,-Delhi-26-1-5-1,1
Gujarat,14,0,0,0,2020-03-22 13:13:25.386975,-Gujarat-14-0-0-0,1
Haryana,3,14,0,0,2020-03-22 13:13:25.386975,-Haryana-3-14-0-0,1
Himachal Pradesh,2,0,0,0,2020-03-22 13:13:25.386975,-Himachal Pradesh-2-0-0-0,1
Karnataka,20,0,2,1,2020-03-22 13:13:25.386975,-Karnataka-20-0-2-1,1
Kerala,45,7,3,0,2020-03-22 13:13:25.386975,-Kerala-45-7-3-0,1
Madhya Pradesh,4,0,0,0,2020-03-22 13:13:25.386975,-Madhya Pradesh-4-0-0-0,1
Maharashtra,60,3,0,2,2020-03-22 13:13:25.386975,-Maharashtra-60-3-0-2,1
Odisha,2,0,0,0,2020-03-22 13:13:25.386975,-Odisha-2-0-0-0,1
Puducherry,1,0,0,0,2020-03-22 13:13:25.386975,-Puducherry-1-0-0-0,1
Punjab,13,0,0,1,2020-03-22 13:13:25.386975,-Punjab-13-0-0-1,1
Rajasthan,22,2,3,0,2020-03-22 13:13:25.386975,-Rajasthan-22-2-3-0,1
Tamil Nadu,4,2,1,0,2020-03-22 13:13:25.386975,-Tamil Nadu-4-2-1-0,1
Telengana,10,11,1,0,2020-03-22 13:13:25.386975,-Telengana-10-11-1-0,1
Chandigarh,5,0,0,0,2020-03-22 13:13:25.386975,-Chandigarh-5-0-0-0,1
Jammu and Kashmir,4,0,0,0,2020-03-22 13:13:25.386975,-Jammu and Kashmir-4-0-0-0,1
Ladakh,13,0,0,0,2020-03-22 13:13:25.386975,-Ladakh-13-0-0-0,1
Uttar Pradesh,24,1,9,0,2020-03-22 13:13:25.386975,-Uttar Pradesh-24-1-9-0,1
Uttarakhand,3,0,0,0,2020-03-22 13:13:25.386975,-Uttarakhand-3-0-0-0,1
